H_Metric_Title,L_Metric_Level,Metric_Date,Gap,Action,Driver,Resolution,Recovery_Date
Component Mispositioning Events,BB,2023-04-01,Station Plant Status Control Performance is below Industry top quartile,"1. Update scaffold governance for distance to equipment requirements as well as a process for a graded approach to operations walkdowns for scaffold installation. Owner: J. Sherwood, TCD 28Mar2023 (D1)

2. Implementation of cross-functional station walkdowns into the PSCWG mandate to identify specific areas and equipment for inclusion into the barrier hardening initiative, bolstering the defense against bumping and misoperation events. Owner: B. Moore, TCD Ongoing. (D1)

3. Implement continued leadership sessions for SNO/UTL to improve observation/coaching effectiveness and other tools to drive increased crew engagement and commitment to Excellence Standards. Owner: A. Walsh, TCD  31Dec2023

4. a) Implement DLA for all OPS leaders (UTL & above) to improve self-criticality/self-correction. Owner: B. Moore, TCD 30Sep2023 (D3)
4. b) All Operations staff to complete knowledge/application based assessment focused on verification practices, verbatim PU&A and Know When to Stop. Owner: A. Walsh, TCD 30Oct2023 (D3)
4. c) Implement Proficiency Dashboards for execution crews. Dashboard development complete, implementation to include workshop and job aid as required to track crew performance. Owner: C. O’Neill, TCD 28May2023 (D1/D3)

5. Complete industry benchmark and implement risk based approach to sensitive equipment protection to provide further hardened barriers. Owner: B. Moore, TCD 30Jun2023 (D1/D2)

6. Complete associated actions from PSC elevation response, included in Site Operations Excellence Plan. Note this includes cross functional actions from maintenance/chemistry. Owner: B. Moore 30Dec2023
","D1 - Inadequate use of (process) barriers to prevent loss of PSC and mis-positioning of equipment. 

D2 - Inadequate hard barriers implemented to prevent bumping of plant equipment. 

D3 - Leadership gaps contributing PSC performance.","1. PSC considerations embedded in scaffold planning process. 

2. Sustained cross functional engagement in rectifying PSC issues via Operations action plan.

3. Completion of protected equipment initiative.",2023-08-30
Component Mispositioning Events,BB,2023-03-01,Station Plant Status Control Performance is below Industry top quartile,"1. Update scaffold governance for distance to equipment requirements as well as a process for a graded approach to operations walkdowns for scaffold installation. Owner: J. Sherwood, TCD 28Mar2023

2. Implementation of cross-functional station walkdowns into the PSCWG mandate to identify specific areas and equipment for inclusion into the barrier hardening initiative, bolstering the defense against bumping and misoperation events. Owner: B. Moore, TCD Ongoing.

3. Install locking mechanisms on T handle valves exposed through grating on 615' for lube oil transfer valves - Complete

4. Implement continued leadership sessions for SNO/UTL to improve observation/coaching effectiveness and other tools to drive increased crew engagement and commitment to Excellence Standards. Owner: A. Walsh, TCD  31Dec2023

5. Implement DLA for all OPS leaders (UTL & above) to improve self-criticality/self-correction.
Owner: B. Moore, TCD 30Sep2023

6. All Operations staff to complete knowledge/application based assessment focused on verification practices, verbatim PU&A and Know When to Stop. Owner: A. Walsh, TCD 30Oct2023

7. Implement Proficiency Dashboards for execution crews. Implementation to include joint workshops & Job Aid development. Owner: C. O’Neill, TCD 30Apr2023

8. Complete industry benchmark and implement risk based approach to sensitive equipment protection to provide further hardened barriers. Owner: B. Moore, TCD 30Jun2023

9. Complete associated actions from PSC elevation response. Note this includes cross functional actions from maintenance/chemistry. Owner: B. Moore 30Dec2023

10. Complete T36 OP.2 gap to excellence GDAR. Owner: B. Moore - Complete
","Inadequate use of human performance tools has led to events ","1. PSC considerations embedded in scaffold planning process. 

2. Sustained cross functional engagement in rectifying PSC issues via Operations action plan.

3. Completion of protected equipment initiative.",2023-08-30
Clearance and Tagging,BB,2022-10-01,"Two Level three Worker Protection Events in the last quarter have resulted in performance below Industry Top Quartile. 

1. CR168616 FH SSW Versa Valve Air Supply not isolated.

2. CR141507 U7 H2 Cooling Spool Piece installed over on tagged device.","1. Rush clearance monitoring, improvement and sustainability plan - Add the following metrics to the Operations Services dashboard: ‘% of CL’s with > 5 weeks preparation time’ Set performance targets and drive corrective actions to improve and sustain performance over time. Owner: S.Wencel, Due Date: 21OCT2022. 

2. Establish and fill rotation in Clearance Writer Group for Unit 0 SNO. Owner : J. Cremasco, Complete.

3. Implement interim expectation specific to FH Clearance Manipulations. Owner: C. Jones, Complete.

4. Complete MFIX GDAR for maintenance clearance sign on issue for U0 APRV mtce. Owner: P. Martin, TCD 28Oct2022.

5. Five WP events have occurred in MCR6 in 2022. Action: Perform trend analysis to identify gaps and actions to prevent recurrence. Owner: S.Wencel, Due Date: 28OCT2022.","Perceived Time pressure with late scope adds into clearance boundaries.
Adherence to standards in FH Worker Protection performance not aligned with expectations.","1. Further reduce WP event likelihood through improvement of self-awareness and continuous improvement of overall CR quality performance.

2. 100% CR quality (at initial entry) and 100% CR quality (at CL preparation).

3. Sustain 100% of BB Planned Clearances > 5 weeks preparation time.

4. Adherence to Standards in Fuel Handling aligned with Expectations.",2022-10-01
Clearance and Tagging,BB,2022-01-01,Trend identified in lower level worker protection events.,"1. Complete Worker Protection 'Staying on Top' Focus Area Self-Assessment. Additional Actions Captured on DRUM. Owner: B. Moore TCD Complete.

2. Complete trend analysis of last 3 months WP perfomance to implement recovery actions.",Time pressure with late scope adds into clearance boundaries.,"1. Further reduce WP event likelihood through improvement of self-awareness and continuous improvement of overall CR quality performance.

2. 100% CR quality (at initial entry) and 100% CR quality (at CL preparation).

3. Sustain 100% of BB Planned Clearances  > 5 weeks preparation time.",2022-04-30
Clearance and Tagging,BB,2022-02-01,Trend identified in lower level worker protection events.,"1. Overall CLRQ quality monitoring and improvement plan - Add the following metrics to the Operations Services dashboard 1) CLRQ quality (at CL preparation), and 2) CLRQ quality (at CL preparation). Set performance targets and drive corrective actions to improve CLRQ quality performance over time. Owner : S.Wencel, Due Date:  30JUN22.

2. Rush clearance monitoring, improvement and sustainability plan - Add the following metrics to the Operations Services dashboard: ‘% of CL’s with > 5 weeks preparation time’ Set performance targets and drive corrective actions to improve and sustain performance over time.
Owner: S.Wencel, Due Date:  30JUN2022. 

3. Improved L4 WP event monitoring - Increase frequency and thoroughness of L4 WP reviews to identify trends early and to correct underlying causes proactively. Owner : S.Wencel, TCD 27MAY2022.

4. Perform self assessment quick hit GDAR on maintenance alteration log process. Owner: G. Wolfe, TCD 27MAY2022.",Time pressure with late scope adds into clearance boundaries.,"1. Further reduce WP event likelihood through improvement of self-awareness and continuous improvement of overall CR quality performance.

2. 100% CR quality (at initial entry) and 100% CR quality (at CL preparation).

3. Sustain 100% of BB Planned Clearances  > 5 weeks preparation time.",2022-08-30
Clearance and Tagging,BB,2021-10-01,Worker’s perceived time pressure leads to a human performance error when worker did not have Test Authorization Permit in place prior to meggaring of 0B-76159-HO1.,"1. Crew stood down to reinforce expectations associated with BP-WPP-00002. Workers qualificaitons suspedended pending remediation. Complete.

2. Event Investigation to be complete. Owner: T. Lake, TCD 30NOV2021.

3. Complete Worker Protection 'Staying on Top' Focus Area Self-Assessment. Owner: B. Moore TCD 26NOV2021.","Perceived time pressure to advance the work due to L3 impairment and reduce dose on ALARA principles. CHS made an error in judgement believing the meggaring could have been completed since the MCC was isolated uner the CO. ","1. Verbatim adherence to all requirements of BP-WPP-00002 by all CHSs. ",2022-04-30
Clearance and Tagging,BB,2021-11-01,Worker’s perceived time pressure leads to a human performance error when worker did not have Test Authorization Permit in place prior to meggaring of 0B-76159-HO1.,"1. Crew stood down to reinforce expectations associated with BP-WPP-00002. Workers qualificaitons suspedended pending remediation. Complete.

2. Event Investigation to be complete. Owner: T. Lake, TCD Complete.

3. Complete Worker Protection 'Staying on Top' Focus Area Self-Assessment. Additional Actions Captured on DRUM. Owner: B. Moore TCD Complete.","Perceived time pressure to advance the work due to L3 impairment and reduce dose on ALARA principles. CHS made an error in judgement believing the meggaring could have been completed since the MCC was isolated uner the CO. ","1. Further reduce WP event likelihood through improvement of self-awareness and continuous improvement of overall CR quality performance.

2. 100% CR quality (at initial entry) and 100% CR quality (at CL preparation).

3. Sustain 100% of BB Planned Clearances  > 5 weeks preparation time.",2022-04-30
Clearance and Tagging,BB,2021-12-01,Some of the improvements in Worker Protection Performance have lacked actions to ensure long term sustainable performance.,"D1. CR Quality - Develop a method of measuring CR quality at the Initial point of CR entry as well as at time of CL preperation. This would be accurately repented through the % of CR’s approved in a month that had never been returned for any reason. CR’s with no return comments (new mandatory Maximo field at time of return) should be considered to accurately achieve this. Owner: S. Wencel, TCD: 28FEB2022.

D1. Overall CR quality monitoring and improvement plan - Add the following metrics to the Operations Services dashboard 1) CR quality (at CL preparation), and 2) CR quality (at CL preparation). Set performance targets and drive corrective actions to improve CR quality performance over time.
Owner: S. Wencel, TCD: 30JUN2022.

D2. BB Clearances  > 5 weeks prep time - Development of a method of accurately representing the risk to WPI from rush CL preparation and approvals.  Consider using ‘% of CL’s with > 5 weeks preparation time’. 
Through the introduction of a mandatory Maximo field entry at time of CL preparation to accurately quantify the amount of time available for clearance preparation and approval. Maximo CL preparation field drop-down selection options could be:

1) > 5 weeks, 
2) 2-5 weeks, 
3) < 2 weeks. 
Owner: S. Wencel, TCD: 30JUN2022.

D2. Rush clearance monitoring, improvement and sustainability plan - Add the following metrics to the Operations Services dashboard: ‘% of CL’s with > 5 weeks preparation time’
Set performance targets and drive corrective actions to improve and sustain performance over time.
Owner: S. Wencel, TCD: 30JUN2022.

D3. L4 WP event SCR entry and Maximo WP flagging - Adjust procedures and roll out changes to 
1) initiate SCR entry and 2) flag WP event in Maximo for all L4 WP events. Owner: S.Wencel, TCD: 30JUN2022.

D3. Improved L4 WP event monitoring - Increase frequency and thoroughness of L4 WP reviews to identify trends early and to correct underlying causes proactively. Owner: S.Wencel, TCD: 28FEB2022.




","1. Not all Clearance Requests provide all information required to ensure adequate Worker Protection during CL preparation and approval.

2. Recent gains made in reducing the number of rush clearance preparation and approval are not being adequately measured and monitored to ensure that these improvements are sustained over the long-term.

3. Not all L4 WP events are being categorized, having an SCR entered, and being flagged as a L4 WP event in Maximo. This is reducing the ability for organizational learning from L4 events, and leading to missed opportunities for event prevention through the use of historical trending to identify and correct underlying causes proactively.","R1. Further reduce WP event likelihood through improvement of self-awareness and continuous improvement of overall CR quality performance.

R1. 100% CR quality (at initial entry) and 100% CR quality (at CL preparation). 

R2. Improved engagement at all levels of the Operations Organization as demonstrated through survey results. 

R2. Operations Engagement council taking action at the correct level of the organization to improve performance and reduce worker frustration.

R3. Entire organization is able to access and learn from past L4 WP events.

R3. 100% L4 WP event SCR entry and Maximo WP flagging.

",2022-04-30
Clearance and Tagging,BB,2022-03-01,Trend identified in lower level worker protection events.,"1. Overall CLRQ quality monitoring and improvement plan - Add the following metrics to the Operations Services dashboard 1) CLRQ quality (at CL preparation), and 2) CLRQ quality (at CL preparation). Set performance targets and drive corrective actions to improve CLRQ quality performance over time. Owner : S.Wencel, Due Date:  30JUN22.

2. Rush clearance monitoring, improvement and sustainability plan - Add the following metrics to the Operations Services dashboard: ‘% of CL’s with > 5 weeks preparation time’ Set performance targets and drive corrective actions to improve and sustain performance over time.
Owner: S.Wencel, Due Date:  30JUN2022. 

3. Improved L4 WP event monitoring - Increase frequency and thoroughness of L4 WP reviews to identify trends early and to correct underlying causes proactively. Owner : S.Wencel, TCD 27MAY2022.

4. Perform self assessment quick hit GDAR on maintenance alteration log process. Owner: G. Wolfe, TCD 27MAY2022.",Time pressure with late scope adds into clearance boundaries.,"1. Further reduce WP event likelihood through improvement of self-awareness and continuous improvement of overall CR quality performance.

2. 100% CR quality (at initial entry) and 100% CR quality (at CL preparation).

3. Sustain 100% of BB Planned Clearances  > 5 weeks preparation time.",2022-08-30
Clearance and Tagging,BB,2022-04-01,Trend identified in lower level worker protection events.,"1. Overall CLRQ quality monitoring and improvement plan - Add the following metrics to the Operations Services dashboard 1) CLRQ quality (at CL preparation), and 2) CLRQ quality (at CL preparation). Set performance targets and drive corrective actions to improve CLRQ quality performance over time. Owner : S.Wencel, Due Date:  30JUN22.

2. Rush clearance monitoring, improvement and sustainability plan - Add the following metrics to the Operations Services dashboard: ‘% of CL’s with > 5 weeks preparation time’ Set performance targets and drive corrective actions to improve and sustain performance over time.
Owner: S.Wencel, Due Date:  30JUN2022. 

3. Improved L4 WP event monitoring - Increase frequency and thoroughness of L4 WP reviews to identify trends early and to correct underlying causes proactively. Owner : S.Wencel, TCD 27MAY2022.

4. Perform self assessment quick hit GDAR on maintenance alteration log process. Owner: G. Wolfe, TCD 27MAY2022.",Time pressure with late scope adds into clearance boundaries.,"1. Further reduce WP event likelihood through improvement of self-awareness and continuous improvement of overall CR quality performance.

2. 100% CR quality (at initial entry) and 100% CR quality (at CL preparation).

3. Sustain 100% of BB Planned Clearances  > 5 weeks preparation time.",2022-08-30
Clearance and Tagging,BB,2022-05-01,"Two Level three Worker Protection Events in the Reporting period have resulted in performance below Inustry Top Quartile. 

1. CR168616 FH SSW Versa Valve Air Supply not isolated.

2. CR141507 U7 H2 Cooling Spool Piece installed over on tagged device.","1. Overall CLRQ quality monitoring and improvement plan - Add the following metrics to the Operations Services dashboard 1) CLRQ quality (at CL preparation), and 2) CLRQ quality (at CL preparation). Set performance targets and drive corrective actions to improve CLRQ quality performance over time. Owner : S.Wencel, TCD: 30JUN2022.

2. Rush clearance monitoring, improvement and sustainability plan - Add the following metrics to the Operations Services dashboard: ‘% of CL’s with > 5 weeks preparation time’ Set performance targets and drive corrective actions to improve and sustain performance over time.Owner: S.Wencel, TCD:  30JUN2022. 

3. Improved L4 WP event monitoring - Increase frequency and thoroughness of L4 WP reviews to identify trends early and to correct underlying causes proactively. Owner : S.Wencel, TCD: 30JUN2022.

4. Perform self assessment quick hit GDAR on maintenance alteration log process. Owner: G. Wolfe, TCD:27MAY2022.

5. Perform A3 Analysis on Fuel Handling Worker Protection Performance. Owner: K. Vallee, TCD: 15JUL2022.
","Perceived Time pressure with late scope adds into clearance boundaries.
Adherence to standards in FH Worker Protection performance not aligned with expectations.","1. Further reduce WP event likelihood through improvement of self-awareness and continuous improvement of overall CR quality performance.

2. 100% CR quality (at initial entry) and 100% CR quality (at CL preparation).

3. Sustain 100% of BB Planned Clearances  > 5 weeks preparation time.

4. Adherence to Standards in Fuel Handling aligned with Expectations.",2022-10-01
Clearance and Tagging,BB,2022-08-01,"Two Level three Worker Protection Events in the Reporting period have resulted in performance below Inustry Top Quartile. 
1. CR168616 FH SSW Versa Valve Air Supply not isolated.

2. CR141507 U7 H2 Cooling Spool Piece installed over on tagged device.","1. Rush clearance monitoring, improvement and sustainability plan - Add the following metrics to the Operations Services dashboard: ‘% of CL’s with > 5 weeks preparation time’ Set performance targets and drive corrective actions to improve and sustain performance over time. Owner: S.Wencel, Due Date: 30SEP2022. 

2. Establish and fill rotation in Clearance Writer Group for Unit 0 SNO. Owner : J. Cremasco, TCD 19SEP2022.

3. Implement interim expectation specific to FH Clearance Maniputlations. Owner: C. Jones, Complete.

4. Complete MFIX GDAR for maintenance clearance sign on issue for U0 APRV mtce. Owner: P. Martin, TCD 16SEP22.

5. Five WP events have occurred in MCR6 in 2022. Action: Perform trend analysis to identify gaps and actions to prevent recurrence. Owner: S.Wencel, Due Date: 28OCT2022.","Perceived Time pressure with late scope adds into clearance boundaries.
Adherence to standards in FH Worker Protection performance not aligned with expectations.","1. Further reduce WP event likelihood through improvement of self-awareness and continuous improvement of overall CR quality performance.

2. 100% CR quality (at initial entry) and 100% CR quality (at CL preparation).

3. Sustain 100% of BB Planned Clearances  > 5 weeks preparation time.

4. Adherence to Standards in Fuel Handling aligned with Expectations.",2022-10-01
Clearance and Tagging,BB,2022-09-01,"Two Level three Worker Protection Events in the quarter have resulted in performance below Inustry Top Quartile. 
1. CR168616 FH SSW Versa Valve Air Supply not isolated.

2. CR141507 U7 H2 Cooling Spool Piece installed over on tagged device.","1. Rush clearance monitoring, improvement and sustainability plan - Add the following metrics to the Operations Services dashboard: ‘% of CL’s with > 5 weeks preparation time’ Set performance targets and drive corrective actions to improve and sustain performance over time. Owner: S.Wencel, Due Date: 21OCT2022. 

2. Establish and fill rotation in Clearance Writer Group for Unit 0 SNO. Owner : J. Cremasco, Complete.

3. Implement interim expectation specific to FH Clearance Maniputlations. Owner: C. Jones, Complete.

4. Complete MFIX GDAR for maintenance clearance sign on issue for U0 APRV mtce. Owner: P. Martin, TCD 28OCT2022.

5. Five WP events have occurred in MCR6 in 2022. Action: Perform trend analysis to identify gaps and actions to prevent recurrence. Owner: S.Wencel, Due Date: 28OCT2022.","Perceived Time pressure with late scope adds into clearance boundaries.
Adherence to standards in FH Worker Protection performance not aligned with expectations.","1. Further reduce WP event likelihood through improvement of self-awareness and continuous improvement of overall CR quality performance.

2. 100% CR quality (at initial entry) and 100% CR quality (at CL preparation).

3. Sustain 100% of BB Planned Clearances  > 5 weeks preparation time.

4. Adherence to Standards in Fuel Handling aligned with Expectations.",2022-10-01
Clearance and Tagging,BB,2022-06-01,"Two Level three Worker Protection Events in the Reporting period have resulted in performance below Inustry Top Quartile. 
1. CR168616 FH SSW Versa Valve Air Supply not isolated.

2. CR141507 U7 H2 Cooling Spool Piece installed over on tagged device.","1. Rush clearance monitoring, improvement and sustainability plan - Add the following metrics to the Operations Services dashboard: ‘% of CL’s with > 5 weeks preparation time’ Set performance targets and drive corrective actions to improve and sustain performance over time.Owner: S.Wencel, Due Date:  31AUG2022. 

2. Establish and fill rotation in Clearance Writer Group for Unit 0 SNO. Owner : J. Cremasco, TCD 01SEP2022.

3. Perform A3 Analysis on Fuel Handling Worker Protection Performance. Owner: K. Vallee, TCD 15JUL2022.

4. Implement interim expectation specific to FH Clearance Maniputlations. Owner: C. Jones, Complete.","Perceived Time pressure with late scope adds into clearance boundaries.
Adherence to standards in FH Worker Protection performance not aligned with expectations.","1. Further reduce WP event likelihood through improvement of self-awareness and continuous improvement of overall CR quality performance.

2. 100% CR quality (at initial entry) and 100% CR quality (at CL preparation).

3. Sustain 100% of BB Planned Clearances  > 5 weeks preparation time.

4. Adherence to Standards in Fuel Handling aligned with Expectations.",2022-10-01
Clearance and Tagging,BB,2022-07-01,"Two Level three Worker Protection Events in the Reporting period have resulted in performance below Inustry Top Quartile. 
1. CR168616 FH SSW Versa Valve Air Supply not isolated.

2. CR141507 U7 H2 Cooling Spool Piece installed over on tagged device.","1. Rush clearance monitoring, improvement and sustainability plan - Add the following metrics to the Operations Services dashboard: ‘% of CL’s with > 5 weeks preparation time’ Set performance targets and drive corrective actions to improve and sustain performance over time. Owner: S.Wencel, TCD: 31AUG2022. 

2. Establish and fill rotation in Clearance Writer Group for Unit 0 SNO. Owner : J. Cremasco, TCD: 01SEP2022.

3. Implement interim expectation specific to FH Clearance Maniputlations. Owner: C. Jones, Complete.

4. Complete MFIX GDAR for maintenance clearance sign on issue for U0 APRV mtce. Owner: P. Martin, TCD:16SEP22.","Perceived Time pressure with late scope adds into clearance boundaries.
Adherence to standards in FH Worker Protection performance not aligned with expectations.","1. Further reduce WP event likelihood through improvement of self-awareness and continuous improvement of overall CR quality performance.

2. 100% CR quality (at initial entry) and 100% CR quality (at CL preparation).

3. Sustain 100% of BB Planned Clearances  > 5 weeks preparation time.

4. Adherence to Standards in Fuel Handling aligned with Expectations.",2022-10-01
Clearance and Tagging,BB,2021-03-01,Substandard Clearance preparation and approval have led to low level Worker Protection events.,"1. Move all clearance writers under one line of supervision (Complete) and add clearance return metrics to the Outage Operations dashboard. Owner: S. Wencel, TCD: 30Jun2021. 

2. Track CLRQ submissions to ensure all are identified by Milestone18. Any CLRQs received after this milestone are tracked and causes assigned for trending and issue resolution. Owner: S. Wencel, TCD 01Nov2021.

3. Review all late outage CLRQs for comons causes. Complete trend analysis of causes for late CLRQs and initiate CRs for resolution of key causes as required. Owner: S. Wencel, TCD 01Jan2022.","1. Inconsistent standards between clearance writers and approvers in different work groups.

2. Inconsistent CLRQ standards for quality. 

3. Late CLRQs creating conditions where clearance or boundary change  preparation and approvals is required in a short timeframe.","1. All Clearance Writers have uniform oversight and supervisor expectations, with a common forum to discuss issues and trends.

2. Returned CLRQs can be effectively trended to determine causes. 

3. Contributors to late CLRQs are understood and resolved (4) No Level 1, Level 2, or Level 3 Worker Protection Events.",2021-05-21
Clearance and Tagging,BB,2021-04-01,Substandard Clearance preparation and approval have led to low level Worker Protection events.,"1. Move all clearance writers under one line of supervision (Complete) and add clearance return metrics to the Outage Operations dashboard. Owner: S. Wencel, TCD: 30Jun2021. 

2. Track CLRQ submissions to ensure all are identified by Milestone18. Any CLRQs received after this milestone are tracked and causes assigned for trending and issue resolution. Owner: S. Wencel, TCD 01Nov2021.

3. Review all late outage CLRQs for comons causes. Complete trend analysis of causes for late CLRQs and initiate CRs for resolution of key causes as required. Owner: S. Wencel, TCD 01Jan2022.","1. Inconsistent standards between clearance writers and approvers in different work groups.

2. Inconsistent CLRQ standards for quality. 

3. Late CLRQs creating conditions where clearance or boundary change  preparation and approvals is required in a short timeframe.","1. All Clearance Writers have uniform oversight and supervisor expectations, with a common forum to discuss issues and trends.

2. Returned CLRQs can be effectively trended to determine causes. 

3. Contributors to late CLRQs are understood and resolved (4) No Level 1, Level 2, or Level 3 Worker Protection Events.",2021-05-21
Clearance and Tagging,BB,2021-02-01,"Substandard Clearance preparation and approval have led to low level Worker Protection events.
","1. Move all clearance writers under one line of supervision (Complete) and add clearance return metrics to the Outage Operations dashboard. Owner: S. Wencel, TCD: 30Jun2021. 

2. Revise and re-issue the Operations Manager Expectation for Worker Protection to include direction on returning CLRQs. Owner: S. Douglas, TCD: 31Mar2021.

3. Track CLRQ submissions to ensure all are identified by Milestone18. Any CLRQs received after this milestone are tracked and causes assigned for trending and issue resolution.
","1. Inconsistent standards between clearance writers and approvers in different work groups.

2. Inconsistent CLRQ standards for quality. 

3. Late CLRQs creating conditions where clearance or boundary change  preparation and approvals is required in a short timeframe.
","1. All Clearance Writers have uniform oversight and supervisor expectations, with a common forum to discuss issues and trends.

2. Returned CLRQs can be effectively trended to determine causes. 

3. Contributors to late CLRQs are understood and resolved (4) No Level 1, Level 2, or Level 3 Worker Protection Events.
",2021-05-31
Clearance and Tagging,BB,2021-01-01,"Substandard Clearance preparation and approval have led to low level Worker Protection events. ","1. Move all clearance writers under one line of supervision (Complete) and add clearance return metrics to the Outage Operations dashboard. Owner: S. Wencel, TCD: 30Jun2021. 

2. Revise and re-issue the Operations Manager Expectation for Worker Protection to include direction on returning CLRQs. Owner: S. Douglas, TCD: 31Mar2021.

3. Track CLRQ submissions to ensure all are identified by Milestone18. Any CLRQs received after this milestone are tracked and causes assigned for trending and issue resolution.","1. Inconsistent standards between clearance writers and approvers in different work groups.

2. Inconsistent CLRQ standards for quality. 

3. Late CLRQs creating conditions where clearance or boundary change  preparation and approvals is required in a short timeframe.","1. All Clearance Writers have uniform oversight and supervisor expectations, with a common forum to discuss issues and trends.

2. Returned CLRQs can be effectively trended to determine causes. 

3. Contributors to late CLRQs are understood and resolved (4) No Level 1, Level 2, or Level 3 Worker Protection Events.",2021-05-31
Reactivity Management,BB,2021-01-01,Equipment challenges with shutdown systems have led to unplanned reactor power reductions.,"1. Issue: Increased operational challenge due to various NOP issues, Action: Install update for SDS1 NOP amplifiers replacement U5, 7, 8 (CR 28699001). Owner: S. El-Hajami, TCD: 31MAY22.

2. Issue: Increased operational challenge due to U5 detector sensitivity issue, Action: Replace 5-63722-VFD18-RE3 during B2251 outage (CR 28792775). Owner: M. Moreau, TCD: 01DEC22.

3. Issue: U7 SA18 Drops Fully in Core During SST 1.23, Action: Complete Investigation and Troubleshooting (U7 outage req'd) (CR 6009). Owner: F. Salaun, TCD: 01MAR22.

4. Issue: SDS2 Lograte trip on B2081 Leadout, Action: Complete Root Cause Investigation (CR 47596). Owner: J.Marshall, TCD: 28FEB21.

5. Issue: OLL B2081 PU&A Error during ATC. Action: Complete CARB Issue Investigation (CR46976). Owner: S.Douglas, TCD: 16FEB2021.","1. Age related equipment degradation.

2. Legacy design/construction deficiencies.

3. Inadequate Human Performance tool use. ","Improved equipment performance leading to fewer unplanned power reductions.
Recovery Date 01DEC2022 (TCD for replacement of5-63722-VFD18-RE3 during B2251 outage) JUL2021 (projected RMI>96 in July 2021 if we have no Significance Level 1, 2 or 3 events between now and then).

Recovery: Expected to achieve target of 96% in July 2021 (Requires no Level 1, 2 or 3 RMI events between now and then). Full Recovery expected 01Dec2022 (TCD for replacement of 5-63722-VFD18-RE3 during B2251 outage). ",2022-12-01
Reactivity Management,BB,2021-02-01,"Equipment challenges with shutdown systems have led to unplanned reactor power reductions.
","1. Issue: Increased operational challenge due to various NOP issues, Action: Install update for SDS1 NOP amplifiers replacement U5, 7, 8 (CR 28699001). Owner: S. El-Hajami, TCD: 31MAY22.

2. Issue: Increased operational challenge due to U5 detector sensitivity issue, Action: Replace 5-63722-VFD18-RE3 during B2251 outage (CR 28792775). Owner: M. Moreau, TCD: 01DEC22.

3. Issue: U7 SA18 Drops Fully in Core During SST 1.23, Action: Complete Investigation and Troubleshooting (U7 outage req'd) (CR 6009). Owner: F. Salaun, TCD: 01MAR22.

4. Issue: SDS2 Lograte trip on B2081 Leadout, Action: Complete Root Cause Investigation (CR 47596). Owner: J.Marshall, TCD: 28FEB21.

5. Issue: OLL B2081 PU&A Error during ATC. Action: Complete CARB Issue Investigation (CR46976). Owner: S.Douglas, TCD: 16FEB2021.
","1. Age related equipment degradation.

2. Legacy design/construction deficiencies.

","Improved equipment performance leading to fewer unplanned power reductions.
Recovery Date 01DEC2022 (TCD for replacement of5-63722-VFD18-RE3 during B2251 outage) JUL2021 (projected RMI>96 in July 2021 if we have no Significance Level 1, 2 or 3 events between now and then).

Recovery: Expected to achieve target of 96% in July 2021 (Requires no Level 1, 2 or 3 RMI events between now and then). Full Recovery expected 01Dec2022 (TCD for replacement of 5-63722-VFD18-RE3 during B2251 outage).
",2022-12-01
Reactivity Management,BB,2021-04-01,Equipment challenges with shutdown systems have led to unplanned reactor power reductions.,"1. Issue: Increased operational challenge due to various NOP issues, Action: Install update for SDS1 NOP amplifiers replacement U5, 7, 8 (CR 28699001). Owner: S. El-Hajami, TCD: 31MAY22.

2. Issue: Increased operational challenge due to U5 detector sensitivity issue, Action: Replace 5-63722-VFD18-RE3 during B2251 outage (CR 28792775). Owner: M. Moreau, TCD: 01DEC22.

3. Issue: U7 SA18 Drops Fully in Core During SST 1.23, Action: Complete Investigation and Troubleshooting (U7 outage req'd) (CR 6009). Owner: F. Salaun, TCD: 01MAR22.

4. Issue: SDS2 Lograte trip on B2081 Leadout, Action: Complete Root Cause Investigation (CR 47596). Owner: J.Marshall, COMPLETE. 

5. Event Investigation underway for CR 80404, U5 RRS Amplifier Failure supported by vendor RC report. Owner Jason Adams, TCD 25JUN2021.","1. Age related equipment degradation.

2. Legacy design/construction deficiencies.","Improved equipment performance leading to fewer unplanned power reductions.
Recovery Date 01DEC2022 (TCD for replacement of5-63722-VFD18-RE3 during B2251 outage) JUL2021 (projected RMI>96 in July 2021 if we have no Significance Level 1, 2 or 3 events between now and then).

Recovery: Expected to achieve target of 96% in July 2021 (Requires no Level 1, 2 or 3 RMI events between now and then). Full Recovery expected 01Dec2022 (TCD for replacement of 5-63722-VFD18-RE3 during B2251 outage).

Recovery: Expected to achieve target of 96% in July 2021 (Requires no Level 1, 2 or 3 RMI events between now and then). Full Recovery expected 01Dec2022 (TCD for replacement of 5-63722-VFD18-RE3 during B2251 outage).",2022-12-01
